"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","의료기관종별명","의료인수","입원실수","병상수","총면적","진료과목내용","진료과목내용명","지정취소일자","완화의료지정형태","완화의료담당부서명","구급차특수","구급차일반","총인원","구조사수","허가병상수","최초지정일자",
"58","의원","01_01_02_P","4181000","PHMA119834180029041100001","1983-12-12","","03","폐업","03","폐업","2013-07-18","","","","033)252-6520","","","강원특별자치도 춘천시 칠전동 639-14","강원특별자치도 춘천시 칠전동1길 8 (칠전동)","200-220","임일규한의원","2013-07-17 14:41:09","I","2023-06-13 00:00:00","한의원","262879.384482441","482194.60040156","한의원","1","0","0","88","301 308","한방내과, 침구과","","","","0","0","","","0","",
"59","의원","01_01_02_P","4181000","PHMA120044180029041100006","2004-10-08","","03","폐업","03","폐업","2011-07-26","2010-03-01","2012-12-31","","","","","강원특별자치도 춘천시 석사동 130-85(3층)","강원특별자치도 춘천시 춘천순환로 46 (석사동)","200-936","늘푸른신경외과의원","2013-12-17 11:05:02","I","2023-06-13 00:00:00","의원","265854.556268497","483877.086800657","의원","1","10","29","418","106 105 120 109","정형외과, 신경외과, 마취통증의학과, 재활의학과","","","","0","0","","","0","",
"60","의원","01_01_02_P","4181000","PHMA120054180029041100002","2005-01-24","","03","폐업","03","폐업","2022-08-04","","","","033-264-1711","","","","강원특별자치도 춘천시 영서로 2025 (석사동)","24415","석사호의원","2022-08-05 04:13:26","I","2023-06-13 00:00:00","의원","265562.220370801","483586.548460211","의원","1","0","0","450","109 110","마취통증의학과, 산부인과","","","","0","0","","","0","",
"61","의원","01_01_02_P","4181000","PHMA120034180029041100010","2003-12-19","","03","폐업","03","폐업","2011-01-31","2010-11-01","2011-04-30","","","","","강원특별자치도 춘천시 석사동 807-1","강원특별자치도 춘천시 후석로 22 (석사동)","200-936","연세참빛안과의원","2013-12-17 11:06:04","I","2023-06-13 00:00:00","의원","265076.189101837","484051.796456034","의원","1","0","0","120","112","안과","","","","0","0","","","0","",
"62","의원","01_01_02_P","4181000","PHMA120194180029041100007","2019-07-05","","03","폐업","03","폐업","2020-12-31","","","","033-262-1900","","","강원특별자치도 춘천시 석사동 880번지 4호","강원특별자치도 춘천시 퇴계농공로 22, 2층 205-A호 (석사동)","24414","제일편한 의원","2021-01-01 01:43:20","I","2023-06-13 00:00:00","의원","265419.195718634","483446.822404389","의원","1","0","0","76","126 125 122 120 119 116 115 114 113 111 109 106 105 104 103 102 101","내과, 신경과, 정신건강의학과, 외과, 정형외과, 신경외과, 마취통증의학과, 소아청소년과, 이비인후과, 피부과, 비뇨의학과, 영상의학과, 진단검사의학과, 재활의학과, 가정의학과, 응급의학과, 예방의학과","","","","0","0","","","0","",
"63","의원","01_01_02_P","4181000","PHMA120204180029041100003","2020-02-14","","03","폐업","03","폐업","2023-08-31","","","","033-263-1120","","","","강원특별자치도 춘천시 김유정로 1884, 래희빌딩 3층 (퇴계동)","24413","춘천연세맑은의원","2023-08-31 22:43:32","U","2023-09-02 02:40:00","의원","264803.926612995","483772.412148525","의원","1","0","0","221","114","피부과","","","","0","0","","","0","",
"64","의원","01_01_02_P","4181000","PHMA120054180029041100014","2005-06-08","","03","폐업","03","폐업","2008-12-17","","","","","","","강원특별자치도 춘천시 온의동430","강원특별자치도 춘천시 옛경춘로 616 (온의동)","200-938","오영기한의원","2013-12-17 11:04:05","I","2023-06-13 00:00:00","한의원","262521.772300834","483637.104171322","한의원","1","0","0","109.4","301 303 308","한방내과, 한방소아과, 침구과","","","","0","0","","","0","",
"65","의원","01_01_02_P","4181000","PHMA120054180029041100020","2005-09-01","","03","폐업","03","폐업","2012-01-01","","","","033)243-7659","","","강원특별자치도 춘천시 퇴계동914-7(2층)","강원특별자치도 춘천시 춘주로 151 (퇴계동)","200-945","홍내과의원","2011-12-30 09:36:08","I","2023-06-13 00:00:00","의원","263745.567206705","484250.532558076","의원","2","0","0","108.6","111 101","내과, 소아청소년과","","","","0","0","","","0","",
"66","의원","01_01_02_P","4181000","PHMA120054180029041100026","2005-12-01","","03","폐업","03","폐업","2009-07-01","","","","","","","강원특별자치도 춘천시 조양동50-14(2층)","강원특별자치도 춘천시 금강로 58 (조양동)","200-941","조은소아과의원","2013-12-17 11:02:59","I","2023-06-13 00:00:00","의원","263986.935771504","486608.127490049","의원","1","0","0","87","111 101 113","내과, 소아청소년과, 이비인후과","","","","0","0","","","0","",
"67","의원","01_01_02_P","4181000","PHMA120214180029041100001","2021-01-12","","03","폐업","03","폐업","2023-06-08","","","","033-910-0880","","","강원특별자치도 춘천시 사농동 46-5","강원특별자치도 춘천시 사우로 38, 3층 (사농동)","24226","여름치과의원","2023-06-09 10:58:21","I","2023-06-13 00:00:00","치과의원","264024.170928195","489579.935351208","치과의원","1","0","0","155","412 411 409 408 407 406 405 403 402","구강악안면외과, 치과보철과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 예방치과, 통합치의학과","","","","0","0","","","0","",
"68","의원","01_01_02_P","4181000","PHMA120204180029041100011","2020-08-26","","03","폐업","03","폐업","2021-10-14","","","","033-259-8108","","","강원특별자치도 춘천시 낙원동 27-1 인성병원","강원특별자치도 춘천시 금강로 39, 1층 (낙원동)","24272","한국종합의원","2021-10-13 17:52:29","I","2023-06-13 00:00:00","의원","263883.466910628","486768.318767618","의원","3","0","0","360.93","101","내과","","","","0","0","","","0","",
"69","의원","01_01_02_P","4181000","PHMA120204180029041100005","2020-02-28","","03","폐업","03","폐업","2020-12-17","","","","033-252-5248","","","강원특별자치도 춘천시 중앙로2가 78번지 1호","강원특별자치도 춘천시 중앙로 72, 1층 (중앙로2가)","24273","봄내우리의원","2020-12-18 17:00:06","I","2023-06-13 00:00:00","의원","263796.162508801","486531.116221761","의원","1","0","0","191","114 113 105 101","내과, 정형외과, 이비인후과, 피부과","","","","0","0","","","0","",
"70","의원","01_01_02_P","4181000","PHMA120034180029041100003","2003-03-21","","03","폐업","03","폐업","2020-04-01","","","","033-264-5100","","","","강원특별자치도 춘천시 후석로 22 (석사동)","24391","상쾌한아침외과의원","2020-04-01 15:17:23","I","2023-06-13 00:00:00","의원","265076.189101837","484051.796456034","의원","2","6","9","67","104","외과","","","","0","0","","","0","",
"71","의원","01_01_02_P","4181000","PHMA120214180029041100011","2021-09-30","","03","폐업","03","폐업","2024-12-20","2024-11-11","2025-01-15","","033-263-5003","","","","강원특별자치도 춘천시 영서로2141번길 13, 2,3,4층 (퇴계동)","24432","굿모닝한의원","2024-12-19 08:29:16","U","2024-12-21 02:40:00","한의원","264611.71073691","484061.148299041","한의원","4","9","18","889.71","301 302 303 304 305 306 307 308","한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과","","","","0","0","","","0","",
"72","의원","01_01_02_P","4181000","PHMA119884180029041100001","1988-02-08","","03","폐업","03","폐업","2022-08-25","","","","033-251-6666","","","강원특별자치도 춘천시 조양동34","강원특별자치도 춘천시 금강로 68-3 (조양동)","24353","권이비인후과의원","2022-08-25 15:12:09","I","2023-06-13 00:00:00","의원","264033.833068137","486464.959442249","의원","1","0","0","120","113","이비인후과","","","","0","0","","","0","",
"73","의원","01_01_02_P","4181000","PHMA120134180029041100024","2013-10-30","","03","폐업","03","폐업","2014-06-02","","","","033)243-0044","","200-950","강원특별자치도 춘천시 효자동 641번지 5호 벨몽드본점건물 4층","강원특별자치도 춘천시 춘천로 197-1, 4층 (효자동, 벨몽드본점 건물)","200-950","사)한국학교보건협회 강원지부 늘좋은치과의원","2014-06-02 11:23:22","I","2023-06-13 00:00:00","치과의원","264685.969062866","486297.611528286","치과의원","1","0","0","112","401","치과","","","","0","0","","","0","",
"74","의원","01_01_02_P","4181000","PHMA120154180029041100013","2015-05-14","","03","폐업","03","폐업","2015-07-24","","","","","","200-937","강원특별자치도 춘천시 온의동 65번지 30호","강원특별자치도 춘천시 스포츠타운길 538 (온의동)","200-937","모두한의원","2015-07-24 11:44:41","I","2023-06-13 00:00:00","한의원","262869.357641807","485394.262414106","한의원","1","0","0","291","301 304 302 308 303 306 305","한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 침구과","","","","0","0","","","0","",
"75","의원","01_01_02_P","4181000","PHMA120154180029041100007","2015-04-06","","03","폐업","03","폐업","2025-01-13","","","","033-263-5335","","","","강원특별자치도 춘천시 김유정로 1874, 1,3,4,5,6층층 (퇴계동)","24422","오케이정형외과의원","2025-01-06 15:26:47","U","2025-01-08 02:40:00","의원","264732.547697796","483702.804412051","의원","7","9","29","778.26","101 102 105 106 109 116 120","내과, 신경과, 정형외과, 신경외과, 마취통증의학과, 영상의학과, 재활의학과","","","","0","0","","","0","",
"76","의원","01_01_02_P","4181000","PHMA120064180029041100001","2006-01-24","","03","폐업","03","폐업","2016-12-03","","","","033)256-5575","","200-941","강원특별자치도 춘천시 조양동 49번지 11호","강원특별자치도 춘천시 금강로 72 (조양동)","24353","이화산부인과의원","2016-12-27 15:44:04","I","2023-06-13 00:00:00","의원","264058.930640693","486500.930218043","의원","1","1","1","161","110","산부인과","","","","0","0","","","0","",
"77","의원","01_01_02_P","4181000","PHMA120064180029041100005","2006-04-21","","03","폐업","03","폐업","2011-12-31","","","","033)261-3021","","","강원특별자치도 춘천시 효자2동363-7(5층)","강원특별자치도 춘천시 남춘로 50 (효자동)","200-953","유디치과의원","2011-12-30 11:55:25","I","2023-06-13 00:00:00","치과의원","264415.175275269","484973.839674439","치과의원","2","0","0","74.5","401","치과","","","","0","0","","","0","",
"78","의원","01_01_02_P","4181000","PHMA120064180029041100010","2006-09-01","","03","폐업","03","폐업","2013-07-30","","","","033)263-9889","","200-936","강원특별자치도 춘천시 석사동 802번지 1호","강원특별자치도 춘천시 후석로 11-8 (석사동)","200-936","중화한의원","2013-07-30 17:56:34","I","2023-06-13 00:00:00","한의원","264957.762093824","484081.224048404","한의원","1","0","0","230.5","301 303 308","한방내과, 한방소아과, 침구과","","","","0","0","","","0","",
"79","의원","01_01_02_P","4181000","PHMA120074180029041100001","2007-04-16","","03","폐업","03","폐업","2010-12-31","2010-10-01","2010-12-31","","033)253-1079","","","강원특별자치도 춘천시 조양동50-1(2층)","강원특별자치도 춘천시 금강로 60 (조양동)","200-941","미가람한의원","2013-12-17 11:01:36","I","2023-06-13 00:00:00","한의원","263989.949267975","486593.069617811","한의원","1","0","0","92.4","301 303 308 302 306 304","한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방재활의학과, 침구과","","","","0","0","","","0","",
"80","의원","01_01_02_P","4181000","PHMA119894180029041100003","1989-06-14","","03","폐업","03","폐업","2016-11-04","","","","033-255-9772","","200-190","강원특별자치도 춘천시 온의동 65번지 24호","강원특별자치도 춘천시 스포츠타운길 529-1 (온의동)","24429","제중한의원","2017-08-18 14:14:09","I","2023-06-13 00:00:00","한의원","262786.384052405","485377.207378144","한의원","1","0","0","123","301 308","한방내과, 침구과","","","","0","0","","","0","",
"81","의원","01_01_02_P","4181000","PHMA119904180029041100003","1990-05-10","","03","폐업","03","폐업","2022-03-31","","","","033)254-2875","","","강원특별자치도 춘천시 조양동 34","강원특별자치도 춘천시 금강로 68-3 (조양동)","24353","나치과의원","2022-03-31 20:29:58","I","2023-06-13 00:00:00","치과의원","264033.833068137","486464.959442249","치과의원","2","0","0","135.1","401","치과","","","","0","0","","","0","",
"82","의원","01_01_02_P","4181000","PHMA119904180029041100004","1990-07-20","","03","폐업","03","폐업","2023-03-01","","","","033-242-2859","","200-822","강원특별자치도 춘천시 신북읍 산천리 344번지 3호","강원특별자치도 춘천시 신북읍 신북로 247","24203","춘천의원","2023-02-27 17:45:58","I","2023-06-13 00:00:00","의원","265885.068379384","494099.685824119","의원","1","0","0","50","101 104","내과, 외과","","","","0","0","","","0","",
"83","의원","01_01_02_P","4181000","PHMA119914180029041100002","1991-04-24","","03","폐업","03","폐업","2011-11-28","","","","033)263-9501","","","강원특별자치도 춘천시 약사동34,35","강원특별자치도 춘천시 약사고개길 33-6 (약사동)","200-120","성골롬반의원","2013-12-17 11:13:26","I","2023-06-13 00:00:00","의원","263882.689103623","486128.581341342","의원","2","0","0","120.2","101 122","내과, 가정의학과","","","","0","0","","","0","",
"84","의원","01_01_02_P","4181000","PHMA119924180029041100001","1992-03-31","","03","폐업","03","폐업","2013-03-25","","","","","","","강원특별자치도 춘천시 소양로1가 97-4","강원특별자치도 춘천시 소양로 195 (소양로1가)","200-111","춘성한의원","2013-03-26 10:05:30","I","2023-06-13 00:00:00","한의원","263719.144918549","487819.952842869","한의원","1","0","0","76.1","301 308","한방내과, 침구과","","","","0","0","","","0","",
